Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Injury
QB,Drew Stanton,4700,ARI@SF 11/05/2017 04:05PM ET,1.88,ARI,
QB,Colt McCoy,4700,WAS@SEA 11/05/2017 04:05PM ET,0,WAS,
QB,Patrick Mahomes II,4700,KC@DAL 11/05/2017 04:25PM ET,0,KC,
QB,Tom Savage,4600,IND@HOU 11/05/2017 01:00PM ET,0.24,HOU,
QB,Chase Daniel,4600,TB@NO 11/05/2017 01:00PM ET,0,NO,
QB,Joe Flacco,4600,BAL@TEN 11/05/2017 01:00PM ET,8.775,BAL,1
QB,Blaine Gabbert,4600,ARI@SF 11/05/2017 04:05PM ET,0,ARI,
QB,Geno Smith,4500,LAR@NYG 11/05/2017 01:00PM ET,0,NYG,
QB,Brock Osweiler,4500,DEN@PHI 11/05/2017 01:00PM ET,0.62,DEN,
QB,Matt Cassel,4500,BAL@TEN 11/05/2017 01:00PM ET,2.16,TEN,
QB,Ryan Mallett,4500,BAL@TEN 11/05/2017 01:00PM ET,4.97,BAL,
QB,Cooper Rush,4500,KC@DAL 11/05/2017 04:25PM ET,1.38,DAL,
QB,Nick Foles,4400,DEN@PHI 11/05/2017 01:00PM ET,-0.2,PHI,
QB,Matt Schaub,4300,ATL@CAR 11/05/2017 01:00PM ET,0,ATL,
QB,Chad Henne,4300,CIN@JAX 11/05/2017 01:00PM ET,-0.3,JAX,
QB,Austin Davis,4300,WAS@SEA 11/05/2017 04:05PM ET,-0.1,SEA,
QB,Scott Tolzien,4200,IND@HOU 11/05/2017 01:00PM ET,3.32,IND,
QB,Sean Mannion,4200,LAR@NYG 11/05/2017 01:00PM ET,-0.16,LAR,
QB,Garrett Gilbert,4000,ATL@CAR 11/05/2017 01:00PM ET,0,CAR,
QB,Jeff Driskel,4000,CIN@JAX 11/05/2017 01:00PM ET,0,CIN,
QB,Taysom Hill,4000,TB@NO 11/05/2017 01:00PM ET,0,NO,
QB,Ryan Griffin,4000,TB@NO 11/05/2017 01:00PM ET,0,TB,
QB,Brandon Allen,4000,LAR@NYG 11/05/2017 01:00PM ET,0,LAR,
QB,Davis Webb,4000,LAR@NYG 11/05/2017 01:00PM ET,0,NYG,
QB,Paxton Lynch,4000,DEN@PHI 11/05/2017 01:00PM ET,0,DEN,
QB,Chad Kelly,4000,DEN@PHI 11/05/2017 01:00PM ET,0,DEN,
QB,Brandon Weeden,4000,BAL@TEN 11/05/2017 01:00PM ET,0,TEN,
QB,Tyler Bray,4000,KC@DAL 11/05/2017 04:25PM ET,0,KC,
RB,Ezekiel Elliott,9000,KC@DAL 11/05/2017 04:25PM ET,24,DAL,
RB,Kareem Hunt,8600,KC@DAL 11/05/2017 04:25PM ET,22.75,KC,
RB,Leonard Fournette,8400,CIN@JAX 11/05/2017 01:00PM ET,23.2,JAX,
RB,Todd Gurley II,8100,LAR@NYG 11/05/2017 01:00PM ET,25.286,LAR,
RB,Mark Ingram,7600,TB@NO 11/05/2017 01:00PM ET,17.486,NO,
RB,Devonta Freeman,6600,ATL@CAR 11/05/2017 01:00PM ET,15.214,ATL,
RB,Christian McCaffrey,6500,ATL@CAR 11/05/2017 01:00PM ET,14.063,CAR,
RB,David Johnson,6400,ARI@SF 11/05/2017 04:05PM ET,14.1,ARI,1
RB,Alvin Kamara,6300,TB@NO 11/05/2017 01:00PM ET,14.286,NO,
RB,Lamar Miller,6200,IND@HOU 11/05/2017 01:00PM ET,14.857,HOU,
RB,Chris Thompson,6100,WAS@SEA 11/05/2017 04:05PM ET,18.9,WAS,
RB,Doug Martin,5800,TB@NO 11/05/2017 01:00PM ET,12.275,TB,
RB,Adrian Peterson,5600,ARI@SF 11/05/2017 04:05PM ET,7.2,ARI,
RB,Darren McFadden,5500,KC@DAL 11/05/2017 04:25PM ET,0,DAL,
RB,Alfred Morris,5500,KC@DAL 11/05/2017 04:25PM ET,2.067,DAL,
RB,DeMarco Murray,5400,BAL@TEN 11/05/2017 01:00PM ET,11.214,TEN,
RB,Carlos Hyde,5200,ARI@SF 11/05/2017 04:05PM ET,15.213,SF,
RB,Joe Mixon,5100,CIN@JAX 11/05/2017 01:00PM ET,9.457,CIN,
RB,Derrick Henry,5000,BAL@TEN 11/05/2017 01:00PM ET,7.943,TEN,
RB,C.J. Anderson,4800,DEN@PHI 11/05/2017 01:00PM ET,11.857,DEN,
RB,Tevin Coleman,4700,ATL@CAR 11/05/2017 01:00PM ET,10.886,ATL,
RB,Alex Collins,4600,BAL@TEN 11/05/2017 01:00PM ET,7.686,BAL,
RB,T.J. Yeldon,4500,CIN@JAX 11/05/2017 01:00PM ET,24.7,JAX,
RB,Chris Ivory,4400,CIN@JAX 11/05/2017 01:00PM ET,8.886,JAX,
RB,Charcandrick West,4400,KC@DAL 11/05/2017 04:25PM ET,5.7,KC,
RB,Javorius Allen,4300,BAL@TEN 11/05/2017 01:00PM ET,11.763,BAL,
RB,LeGarrette Blount,4200,DEN@PHI 11/05/2017 01:00PM ET,9.525,PHI,
RB,Matt Breida,4200,ARI@SF 11/05/2017 04:05PM ET,5.825,SF,
RB,Marlon Mack,4100,IND@HOU 11/05/2017 01:00PM ET,9.55,IND,
RB,Jamaal Charles,4100,DEN@PHI 11/05/2017 01:00PM ET,5.9,DEN,
RB,D'Onta Foreman,4000,IND@HOU 11/05/2017 01:00PM ET,4.214,HOU,
RB,Jacquizz Rodgers,4000,TB@NO 11/05/2017 01:00PM ET,4.843,TB,
RB,Frank Gore,3900,IND@HOU 11/05/2017 01:00PM ET,9.788,IND,
RB,Malcolm Brown,3900,LAR@NYG 11/05/2017 01:00PM ET,3.95,LAR,
RB,Wendell Smallwood,3900,DEN@PHI 11/05/2017 01:00PM ET,6.367,PHI,
RB,Andre Ellington,3900,ARI@SF 11/05/2017 04:05PM ET,9.767,ARI,1
RB,Orleans Darkwa,3800,LAR@NYG 11/05/2017 01:00PM ET,8.1,NYG,
RB,Alfred Blue,3700,IND@HOU 11/05/2017 01:00PM ET,0.825,HOU,
RB,Terrance West,3700,BAL@TEN 11/05/2017 01:00PM ET,5.82,BAL,1
RB,Danny Woodhead,3700,BAL@TEN 11/05/2017 01:00PM ET,6.7,BAL,1
RB,C.J. Prosise,3700,WAS@SEA 11/05/2017 04:05PM ET,4.175,SEA,1
RB,Rob Kelley,3700,WAS@SEA 11/05/2017 04:05PM ET,5.2,WAS,1
RB,De'Angelo Henderson,3600,DEN@PHI 11/05/2017 01:00PM ET,0.033,DEN,
RB,Samaje Perine,3600,WAS@SEA 11/05/2017 04:05PM ET,4.229,WAS,
RB,Jonathan Stewart,3500,ATL@CAR 11/05/2017 01:00PM ET,6.788,CAR,
RB,Devontae Booker,3500,DEN@PHI 11/05/2017 01:00PM ET,8.4,DEN,
RB,Charles Sims,3400,TB@NO 11/05/2017 01:00PM ET,3.957,TB,
RB,Wayne Gallman,3400,LAR@NYG 11/05/2017 01:00PM ET,9.075,NYG,
RB,Corey Clement,3400,DEN@PHI 11/05/2017 01:00PM ET,3.775,PHI,
RB,Kerwynn Williams,3400,ARI@SF 11/05/2017 04:05PM ET,2.643,ARI,
RB,Giovani Bernard,3300,CIN@JAX 11/05/2017 01:00PM ET,7.1,CIN,
RB,Corey Grant,3300,CIN@JAX 11/05/2017 01:00PM ET,2.514,JAX,
RB,Thomas Rawls,3300,WAS@SEA 11/05/2017 04:05PM ET,2.2,SEA,
RB,Shane Vereen,3200,LAR@NYG 11/05/2017 01:00PM ET,6.129,NYG,
RB,Paul Perkins,3200,LAR@NYG 11/05/2017 01:00PM ET,4.15,NYG,
RB,Eddie Lacy,3200,WAS@SEA 11/05/2017 04:05PM ET,2.92,SEA,
RB,J.D. McKissic,3200,WAS@SEA 11/05/2017 04:05PM ET,8.4,SEA,
RB,Rod Smith,3200,KC@DAL 11/05/2017 04:25PM ET,1.6,DAL,
RB,Jeremy Hill,3100,CIN@JAX 11/05/2017 01:00PM ET,2.457,CIN,
RB,Kenjon Barner,3100,DEN@PHI 11/05/2017 01:00PM ET,1.68,PHI,
RB,Terron Ward,3000,ATL@CAR 11/05/2017 01:00PM ET,0,ATL,
RB,Derrick Coleman,3000,ATL@CAR 11/05/2017 01:00PM ET,0.3,ATL,
RB,Fozzy Whittaker,3000,ATL@CAR 11/05/2017 01:00PM ET,2.233,CAR,1
RB,Cameron Artis-Payne,3000,ATL@CAR 11/05/2017 01:00PM ET,0.4,CAR,
RB,Alex Armah,3000,ATL@CAR 11/05/2017 01:00PM ET,0,CAR,
RB,Jay Prosch,3000,IND@HOU 11/05/2017 01:00PM ET,0.4,HOU,
RB,Jordan Todman,3000,IND@HOU 11/05/2017 01:00PM ET,0,HOU,
RB,Matt Jones,3000,IND@HOU 11/05/2017 01:00PM ET,0.467,IND,1
RB,George Winn,3000,IND@HOU 11/05/2017 01:00PM ET,0,IND,
RB,Josh Ferguson,3000,IND@HOU 11/05/2017 01:00PM ET,0.25,IND,
RB,Tra Carson,3000,CIN@JAX 11/05/2017 01:00PM ET,0,CIN,
RB,Tommy Bohanon,3000,CIN@JAX 11/05/2017 01:00PM ET,2.1,JAX,
RB,Daniel Lasco II,3000,TB@NO 11/05/2017 01:00PM ET,0,NO,
RB,Trey Edmunds,3000,TB@NO 11/05/2017 01:00PM ET,0,NO,
RB,Zach Line,3000,TB@NO 11/05/2017 01:00PM ET,0,NO,
RB,Peyton Barber,3000,TB@NO 11/05/2017 01:00PM ET,0.7,TB,
RB,Lance Dunbar,3000,LAR@NYG 11/05/2017 01:00PM ET,0,LAR,
RB,Justin Davis,3000,LAR@NYG 11/05/2017 01:00PM ET,0.05,LAR,
RB,Andy Janovich,3000,DEN@PHI 11/05/2017 01:00PM ET,0.557,DEN,
RB,Jalston Fowler,3000,BAL@TEN 11/05/2017 01:00PM ET,0.9,TEN,
RB,David Fluellen,3000,BAL@TEN 11/05/2017 01:00PM ET,0.3,TEN,
RB,Bobby Rainey,3000,BAL@TEN 11/05/2017 01:00PM ET,3.967,BAL,
RB,Elijhaa Penny,3000,ARI@SF 11/05/2017 04:05PM ET,0.243,ARI,
RB,T.J. Logan,3000,ARI@SF 11/05/2017 04:05PM ET,0,ARI,
RB,D.J. Foster,3000,ARI@SF 11/05/2017 04:05PM ET,0,ARI,
RB,Raheem Mostert,3000,ARI@SF 11/05/2017 04:05PM ET,0.25,SF,
RB,Kyle Juszczyk,3000,ARI@SF 11/05/2017 04:05PM ET,4.05,SF,
RB,Tre Madden,3000,WAS@SEA 11/05/2017 04:05PM ET,1.214,SEA,
RB,Keith Smith,3000,KC@DAL 11/05/2017 04:25PM ET,0.429,DAL,
RB,Akeem Hunt,3000,KC@DAL 11/05/2017 04:25PM ET,0.2,KC,
RB,Anthony Sherman,3000,KC@DAL 11/05/2017 04:25PM ET,0.263,KC,
TE,Zach Ertz,6800,DEN@PHI 11/05/2017 01:00PM ET,16.35,PHI,
TE,Travis Kelce,6700,KC@DAL 11/05/2017 04:25PM ET,16.663,KC,
TE,Evan Engram,5600,LAR@NYG 11/05/2017 01:00PM ET,11.743,NYG,
TE,Jimmy Graham,5000,WAS@SEA 11/05/2017 04:05PM ET,11.271,SEA,
TE,Delanie Walker,4900,BAL@TEN 11/05/2017 01:00PM ET,9.886,TEN,
TE,Jordan Reed,4800,WAS@SEA 11/05/2017 04:05PM ET,10.017,WAS,1
TE,Jason Witten,4600,KC@DAL 11/05/2017 04:25PM ET,11.771,DAL,
TE,Cameron Brate,4500,TB@NO 11/05/2017 01:00PM ET,13.643,TB,
TE,Greg Olsen,4400,ATL@CAR 11/05/2017 01:00PM ET,2.9,CAR,1
TE,Jack Doyle,4300,IND@HOU 11/05/2017 01:00PM ET,13.257,IND,
TE,Vernon Davis,4100,WAS@SEA 11/05/2017 04:05PM ET,7.6,WAS,
TE,Tyler Kroft,3900,CIN@JAX 11/05/2017 01:00PM ET,8.829,CIN,
TE,Austin Hooper,3700,ATL@CAR 11/05/2017 01:00PM ET,9.5,ATL,
TE,Jonnu Smith,3400,BAL@TEN 11/05/2017 01:00PM ET,4.814,TEN,
TE,George Kittle,3200,ARI@SF 11/05/2017 04:05PM ET,6.875,SF,
TE,Ed Dickson,3100,ATL@CAR 11/05/2017 01:00PM ET,7.488,CAR,
TE,Ryan Griffin,3000,IND@HOU 11/05/2017 01:00PM ET,6.133,HOU,
TE,C.J. Fiedorowicz,3000,IND@HOU 11/05/2017 01:00PM ET,8.6,HOU,1
TE,A.J. Derby,2900,DEN@PHI 11/05/2017 01:00PM ET,7.014,DEN,
TE,Stephen Anderson,2800,IND@HOU 11/05/2017 01:00PM ET,4.117,HOU,
TE,Tyler Higbee,2800,LAR@NYG 11/05/2017 01:00PM ET,4.557,LAR,
TE,Coby Fleener,2700,TB@NO 11/05/2017 01:00PM ET,5.857,NO,
TE,O.J. Howard,2700,TB@NO 11/05/2017 01:00PM ET,7.586,TB,
TE,Benjamin Watson,2700,BAL@TEN 11/05/2017 01:00PM ET,8.125,BAL,
TE,Marcedes Lewis,2600,CIN@JAX 11/05/2017 01:00PM ET,5.929,JAX,
TE,Gerald Everett,2600,LAR@NYG 11/05/2017 01:00PM ET,4.057,LAR,
TE,Niles Paul,2600,WAS@SEA 11/05/2017 04:05PM ET,0.686,WAS,1
TE,Eric Saubert,2500,ATL@CAR 11/05/2017 01:00PM ET,0,ATL,
TE,Levine Toilolo,2500,ATL@CAR 11/05/2017 01:00PM ET,1.3,ATL,
TE,Chris Manhertz,2500,ATL@CAR 11/05/2017 01:00PM ET,0.263,CAR,
TE,Erik Swoope,2500,IND@HOU 11/05/2017 01:00PM ET,0,IND,1
TE,Brandon Williams,2500,IND@HOU 11/05/2017 01:00PM ET,1.9,IND,
TE,Darrell Daniels,2500,IND@HOU 11/05/2017 01:00PM ET,0.7,IND,
TE,C.J. Uzomah,2500,CIN@JAX 11/05/2017 01:00PM ET,1.38,CIN,
TE,Ryan Hewitt,2500,CIN@JAX 11/05/2017 01:00PM ET,0.65,CIN,
TE,Clark Harris,2500,CIN@JAX 11/05/2017 01:00PM ET,0,CIN,
TE,Cethan Carter,2500,CIN@JAX 11/05/2017 01:00PM ET,0,CIN,
TE,James O'Shaughnessy,2500,CIN@JAX 11/05/2017 01:00PM ET,1.157,JAX,
TE,Ben Koyack,2500,CIN@JAX 11/05/2017 01:00PM ET,0.686,JAX,
TE,Michael Hoomanawanui,2500,TB@NO 11/05/2017 01:00PM ET,2.114,NO,
TE,Josh Hill,2500,TB@NO 11/05/2017 01:00PM ET,1.871,NO,
TE,Antony Auclair,2500,TB@NO 11/05/2017 01:00PM ET,0,TB,
TE,Luke Stocker,2500,TB@NO 11/05/2017 01:00PM ET,0.214,TB,
TE,Derek Carrier,2500,LAR@NYG 11/05/2017 01:00PM ET,0.971,LAR,
TE,Jerell Adams,2500,LAR@NYG 11/05/2017 01:00PM ET,1.214,NYG,
TE,Rhett Ellison,2500,LAR@NYG 11/05/2017 01:00PM ET,2.429,NYG,
TE,Matt LaCosse,2500,LAR@NYG 11/05/2017 01:00PM ET,0,NYG,
TE,Jeff Heuerman,2500,DEN@PHI 11/05/2017 01:00PM ET,2.571,DEN,
TE,Virgil Green,2500,DEN@PHI 11/05/2017 01:00PM ET,3.857,DEN,
TE,Jake Butt,2500,DEN@PHI 11/05/2017 01:00PM ET,0,DEN,
TE,Trey Burton,2500,DEN@PHI 11/05/2017 01:00PM ET,2.75,PHI,
TE,Brent Celek,2500,DEN@PHI 11/05/2017 01:00PM ET,0.913,PHI,
TE,Phillip Supernaw,2500,BAL@TEN 11/05/2017 01:00PM ET,1.557,TEN,
TE,Beau Brinkley,2500,BAL@TEN 11/05/2017 01:00PM ET,0,TEN,
TE,Maxx Williams,2500,BAL@TEN 11/05/2017 01:00PM ET,2.8,BAL,1
TE,Nick Boyle,2500,BAL@TEN 11/05/2017 01:00PM ET,4.225,BAL,1
TE,Vince Mayle,2500,BAL@TEN 11/05/2017 01:00PM ET,0.775,BAL,1
TE,Gavin Escobar,2500,BAL@TEN 11/05/2017 01:00PM ET,0,BAL,
TE,Jermaine Gresham,2500,ARI@SF 11/05/2017 04:05PM ET,4.833,ARI,
TE,Ifeanyi Momah,2500,ARI@SF 11/05/2017 04:05PM ET,0.8,ARI,
TE,Ricky Seals-Jones,2500,ARI@SF 11/05/2017 04:05PM ET,0,ARI,
TE,Troy Niklas,2500,ARI@SF 11/05/2017 04:05PM ET,2.086,ARI,
TE,Cole Hikutini,2500,ARI@SF 11/05/2017 04:05PM ET,1.167,SF,
TE,Garrett Celek,2500,ARI@SF 11/05/2017 04:05PM ET,2.263,SF,
TE,Kyle Nelson,2500,ARI@SF 11/05/2017 04:05PM ET,0,SF,
TE,Luke Willson,2500,WAS@SEA 11/05/2017 04:05PM ET,4.243,SEA,
TE,Tyler Ott,2500,WAS@SEA 11/05/2017 04:05PM ET,0,SEA,
TE,Nick Vannett,2500,WAS@SEA 11/05/2017 04:05PM ET,1.186,SEA,
TE,Jeremy Sprinkle,2500,WAS@SEA 11/05/2017 04:05PM ET,0,WAS,
TE,James Hanna,2500,KC@DAL 11/05/2017 04:25PM ET,1.4,DAL,
TE,Geoff Swaim,2500,KC@DAL 11/05/2017 04:25PM ET,0.643,DAL,
TE,Rico Gathers,2500,KC@DAL 11/05/2017 04:25PM ET,0,DAL,
TE,Blake Jarwin,2500,KC@DAL 11/05/2017 04:25PM ET,0,DAL,
TE,Ross Travis,2500,KC@DAL 11/05/2017 04:25PM ET,0.738,KC,
TE,Demetrius Harris,2500,KC@DAL 11/05/2017 04:25PM ET,2.275,KC,
TE,James Winchester,2500,KC@DAL 11/05/2017 04:25PM ET,0,KC,
WR,DeAndre Hopkins,9200,IND@HOU 11/05/2017 01:00PM ET,21.943,HOU,
WR,Julio Jones,7800,ATL@CAR 11/05/2017 01:00PM ET,14.286,ATL,
WR,Mike Evans,7700,TB@NO 11/05/2017 01:00PM ET,16.414,TB,
WR,A.J. Green,7400,CIN@JAX 11/05/2017 01:00PM ET,17.743,CIN,
WR,Michael Thomas,7200,TB@NO 11/05/2017 01:00PM ET,14.571,NO,
WR,Will Fuller V,7000,IND@HOU 11/05/2017 01:00PM ET,21.7,HOU,
WR,Doug Baldwin,6900,WAS@SEA 11/05/2017 04:05PM ET,14.529,SEA,
WR,Tyreek Hill,6700,KC@DAL 11/05/2017 04:25PM ET,15.563,KC,
WR,Dez Bryant,6400,KC@DAL 11/05/2017 04:25PM ET,13.229,DAL,
WR,Kelvin Benjamin,6200,ATL@CAR 11/05/2017 01:00PM ET,11.813,CAR,1
WR,Demaryius Thomas,6000,DEN@PHI 11/05/2017 01:00PM ET,11.786,DEN,
WR,Larry Fitzgerald,5900,ARI@SF 11/05/2017 04:05PM ET,16.771,ARI,
WR,Emmanuel Sanders,5700,DEN@PHI 11/05/2017 01:00PM ET,12.72,DEN,1
WR,DeSean Jackson,5500,TB@NO 11/05/2017 01:00PM ET,11.386,TB,
WR,Devin Funchess,5400,ATL@CAR 11/05/2017 01:00PM ET,10.838,CAR,
WR,Mohamed Sanu,5300,ATL@CAR 11/05/2017 01:00PM ET,11.767,ATL,
WR,Alshon Jeffery,5300,DEN@PHI 11/05/2017 01:00PM ET,11.45,PHI,
WR,Sterling Shepard,5200,LAR@NYG 11/05/2017 01:00PM ET,11.72,NYG,
WR,Pierre Garcon,5100,ARI@SF 11/05/2017 04:05PM ET,11.625,SF,1
WR,Ted Ginn Jr.,5000,TB@NO 11/05/2017 01:00PM ET,12.043,NO,
WR,T.Y. Hilton,4900,IND@HOU 11/05/2017 01:00PM ET,11.588,IND,
WR,Jamison Crowder,4900,WAS@SEA 11/05/2017 04:05PM ET,8.4,WAS,1
WR,Nelson Agholor,4800,DEN@PHI 11/05/2017 01:00PM ET,12.025,PHI,
WR,Paul Richardson,4700,WAS@SEA 11/05/2017 04:05PM ET,13.2,SEA,
WR,Rishard Matthews,4600,BAL@TEN 11/05/2017 01:00PM ET,10.286,TEN,
WR,Tyler Lockett,4600,WAS@SEA 11/05/2017 04:05PM ET,9.7,SEA,
WR,Cooper Kupp,4500,LAR@NYG 11/05/2017 01:00PM ET,10.371,LAR,
WR,Corey Davis,4400,BAL@TEN 11/05/2017 01:00PM ET,7.15,TEN,
WR,Josh Doctson,4400,WAS@SEA 11/05/2017 04:05PM ET,5.571,WAS,
WR,Robert Woods,4300,LAR@NYG 11/05/2017 01:00PM ET,9.757,LAR,
WR,Sammy Watkins,4200,LAR@NYG 11/05/2017 01:00PM ET,8.486,LAR,
WR,John Brown,4200,ARI@SF 11/05/2017 04:05PM ET,8.68,ARI,
WR,Allen Hurns,4100,CIN@JAX 11/05/2017 01:00PM ET,10.786,JAX,
WR,Eric Decker,4100,BAL@TEN 11/05/2017 01:00PM ET,6.514,TEN,
WR,Terrelle Pryor Sr.,4100,WAS@SEA 11/05/2017 04:05PM ET,6.614,WAS,
WR,Bennie Fowler,4000,DEN@PHI 11/05/2017 01:00PM ET,7.714,DEN,
WR,Jeremy Maclin,4000,BAL@TEN 11/05/2017 01:00PM ET,9.7,BAL,
WR,Jaron Brown,4000,ARI@SF 11/05/2017 04:05PM ET,8.586,ARI,
WR,Aldrick Robinson,4000,ARI@SF 11/05/2017 04:05PM ET,4.1,SF,
WR,Cole Beasley,4000,KC@DAL 11/05/2017 04:25PM ET,6.3,DAL,
WR,Marqise Lee,3900,CIN@JAX 11/05/2017 01:00PM ET,8.857,JAX,
WR,Willie Snead,3800,TB@NO 11/05/2017 01:00PM ET,1.05,NO,
WR,Marquise Goodwin,3800,ARI@SF 11/05/2017 04:05PM ET,7.313,SF,
WR,Taylor Gabriel,3700,ATL@CAR 11/05/2017 01:00PM ET,6.014,ATL,
WR,Mike Wallace,3600,BAL@TEN 11/05/2017 01:00PM ET,7.171,BAL,
WR,Albert Wilson,3600,KC@DAL 11/05/2017 04:25PM ET,7.386,KC,1
WR,Dede Westbrook,3500,CIN@JAX 11/05/2017 01:00PM ET,0,JAX,1
WR,Ryan Grant,3500,WAS@SEA 11/05/2017 04:05PM ET,7.786,WAS,
WR,Brandon LaFell,3400,CIN@JAX 11/05/2017 01:00PM ET,6.714,CIN,
WR,Brandon Coleman,3400,TB@NO 11/05/2017 01:00PM ET,7.929,NO,
WR,Justin Hardy,3300,ATL@CAR 11/05/2017 01:00PM ET,3.229,ATL,
WR,Adam Humphries,3300,TB@NO 11/05/2017 01:00PM ET,8.243,TB,
WR,Roger Lewis,3300,LAR@NYG 11/05/2017 01:00PM ET,4.129,NYG,
WR,Torrey Smith,3300,DEN@PHI 11/05/2017 01:00PM ET,5.088,PHI,
WR,J.J. Nelson,3300,ARI@SF 11/05/2017 04:05PM ET,9.6,ARI,
WR,Terrance Williams,3300,KC@DAL 11/05/2017 04:25PM ET,6.086,DAL,
WR,Andre Roberts,3200,ATL@CAR 11/05/2017 01:00PM ET,0.314,ATL,
WR,Donte Moncrief,3200,IND@HOU 11/05/2017 01:00PM ET,6.388,IND,
WR,Travis Rudolph,3200,LAR@NYG 11/05/2017 01:00PM ET,3.1,NYG,
WR,Brice Butler,3200,KC@DAL 11/05/2017 04:25PM ET,5.814,DAL,
WR,Demarcus Robinson,3200,KC@DAL 11/05/2017 04:25PM ET,2.688,KC,
WR,Russell Shepard,3100,ATL@CAR 11/05/2017 01:00PM ET,3.788,CAR,
WR,Curtis Samuel,3100,ATL@CAR 11/05/2017 01:00PM ET,2.386,CAR,
WR,Tavon Austin,3100,LAR@NYG 11/05/2017 01:00PM ET,3.986,LAR,
WR,Tavarres King,3100,LAR@NYG 11/05/2017 01:00PM ET,1,NYG,
WR,Taywan Taylor,3100,BAL@TEN 11/05/2017 01:00PM ET,5.2,TEN,
WR,Michael Campanaro,3100,BAL@TEN 11/05/2017 01:00PM ET,4.343,BAL,
WR,Marvin Hall,3000,ATL@CAR 11/05/2017 01:00PM ET,5.5,ATL,
WR,Nick Williams,3000,ATL@CAR 11/05/2017 01:00PM ET,6,ATL,
