"Rank","Player","Matchup","Salary","Avg","Prob","Status"
45,"Kyle O'Quinn","IND@NY 11/05/2017 07:30PM ET",4200,19.75,0,""
46,"Guillermo Hernangomez","IND@NY 11/05/2017 07:30PM ET",3500,8.9,0,""
47,"Patrick Patterson","OKC@POR 11/05/2017 09:00PM ET",3000,7.188,0,""
48,"Nick Collison","OKC@POR 11/05/2017 09:00PM ET",3000,1.5,0,""
49,"Dakari Johnson","OKC@POR 11/05/2017 09:00PM ET",3000,7.583,0,""
50,"Bismack Biyombo","BOS@ORL 11/05/2017 06:00PM ET",3400,10.583,0,""
51,"Marreese Speights","BOS@ORL 11/05/2017 06:00PM ET",3000,12.208,0,""
52,"Alex Len","PHO@SA 11/05/2017 07:00PM ET",4600,22,0,""
53,"Tyson Chandler","PHO@SA 11/05/2017 07:00PM ET",4100,21.25,0,""
54,"Dragan Bender","PHO@SA 11/05/2017 07:00PM ET",3400,15.333,0,""
55,"Ed Davis","OKC@POR 11/05/2017 09:00PM ET",3900,21.111,0,""
56,"Noah Vonleh","OKC@POR 11/05/2017 09:00PM ET",3500,6.875,0,""
57,"Zach Collins","OKC@POR 11/05/2017 09:00PM ET",3000,1.583,0,""
58,"Pau Gasol","PHO@SA 11/05/2017 07:00PM ET",5900,27.944,0,""
59,"Serge Ibaka","WAS@TOR 11/05/2017 06:00PM ET",4900,22.679,0,""
60,"Lucas Nogueira","WAS@TOR 11/05/2017 06:00PM ET",3800,21.75,0,""
61,"Derrick Favors","UTA@HOU 11/05/2017 07:00PM ET",4700,21.528,0,""
62,"Ekpe Udoh","UTA@HOU 11/05/2017 07:00PM ET",3000,9.75,0,""
63,"Tony Bradley","UTA@HOU 11/05/2017 07:00PM ET",3000,0,0,""
64,"Jason Smith","WAS@TOR 11/05/2017 06:00PM ET",3900,7.313,0,""
65,"Ian Mahinmi","WAS@TOR 11/05/2017 06:00PM ET",3500,10.625,0,""
66,"Chris McCullough","WAS@TOR 11/05/2017 06:00PM ET",3000,8.75,0,""
